#{"t_start": 1763624523.470404, "env_id": "None"}
r,l,t
-5.6721997,42,3.632375
-5.6511574,46,3.635374
-5.6306696,61,3.635374
-4.60609,47,3.646384
-5.836301,56,3.648584
-4.2701235,53,3.650096
-4.183834,48,3.650096
-5.758457,49,3.650096
-4.367354,62,3.651097
-5.213665,43,3.653106
-3.9534264,54,3.653106
-5.093891,52,3.659105
-5.68,44,3.665105
-5.6811996,43,3.665105
-4.7944126,59,3.668106
-4.2681055,46,3.670105
-4.6255665,38,3.675104
-4.2742095,52,3.681106
-4.099907,48,3.684342
-4.457258,57,3.685342
-4.248665,56,3.687347
-4.142461,39,3.687347
-5.7035694,45,3.690342
-4.023843,39,3.692343
-4.25404,63,3.693342
-4.136074,60,3.693342
-4.006696,47,3.698343
-5.3252277,46,3.699348
-4.2487226,48,3.702343
-5.610701,43,3.705342
-5.546452,40,3.712869
-5.1693087,52,3.720543
-4.0681,58,3.723544
-5.8451014,58,3.724544
-5.724618,58,3.727543
-4.046195,48,3.730543
-4.4516153,61,3.730543
