rollout/ep_rew_mean(キА贱纘),time/fps(碫瞯),time/total_timesteps(羆˙计),time/time_elapsed(竒筁丁),rollout/ep_len_mean(キА),env/win_rate(硄闽瞯),time/iterations(Ω计),env/passed_count(硄筁毁锚计秖),train/entropy_loss(鎖穕ア),train/value_loss(基穕ア),train/clip_range(穝碩),train/explained_variance(基箇代非絋),train/loss(羆穕ア),train/n_updates(穝Ω计),train/approx_kl(KL床),train/clip_fraction(穝碩筁ゑㄒ),train/policy_gradient_loss(郸菠辫穕ア),train/learning_rate(厩策瞯),train/entropy_coef(鎖玒计),eval/mean_reward,eval/mean_ep_length
4384.85205078125,8403,8683520,1033,2533.57,0.44,265,151.53,-0.2552034415304661,0.1306132213678211,0.1,0.18391907215118408,0.12091347575187683,2640,0.0006419675,0.033880615234375,-0.00039344380202237516,0.00011349248000000001,0.012,,
4260.32958984375,8404,8716288,1037,2486.2,0.39,266,148.65,-0.19915754459798335,0.07609870014712214,0.1,0.1827966570854187,0.0441058985888958,2650,0.001114889,0.0311859130859375,-0.0005687825454515405,0.00011316479999999999,0.012,,
4338.0595703125,8404,8749056,1040,2534.15,0.39,267,151.64,-0.24438173547387124,0.11371769197285175,0.1,0.2052851915359497,0.0752195417881012,2660,0.00081448583,0.0306182861328125,-0.0007940006806165911,0.00011283712000000003,0.012,,
4562.802734375,8405,8781824,1044,2639.22,0.44,268,158.33,-0.191337619908154,0.03923573130741716,0.1,0.2509447932243347,0.018166784197092056,2670,0.0005641159,0.0278656005859375,-0.0008643151973956265,0.00011250944000000001,0.012,,
4322.86279296875,8406,8814592,1048,2529.13,0.38,269,151.39,-0.23695139549672603,0.18412215234711765,0.1,0.1456502079963684,0.1660553514957428,2680,0.00085145945,0.0377685546875,-0.0007783174369251356,0.00011218176000000001,0.012,,
4301.3173828125,8406,8847360,1052,2528.83,0.36,270,151.34,-0.23245886024087667,0.04154210623819381,0.1,0.35139894485473633,0.032378703355789185,2690,0.00088093494,0.0323272705078125,-0.0005758191953646019,0.00011185408,0.012,,
4136.5986328125,8407,8880128,1056,2442.39,0.34,271,145.78,-0.2152140995487571,0.04051473367144354,0.1,0.32096922397613525,0.03526997193694115,2700,0.0008569001,0.0328582763671875,-0.000588997927843593,0.0001115264,0.012,,
4340.0947265625,8407,8912896,1060,2552.19,0.36,272,152.84,-0.2365732679143548,0.1135927926748991,0.1,0.18606168031692505,0.09962684661149979,2710,0.00092296134,0.0256134033203125,-0.0007760171021800489,0.00011119872000000001,0.012,,
4459.8388671875,8408,8945664,1063,2598.97,0.4,273,155.87,-0.2078067922964692,0.09451202554628253,0.1,0.16697907447814941,0.08461938798427582,2720,0.000602922,0.02447509765625,-0.0005303799334797077,0.00011087103999999999,0.012,,
4286.3603515625,8409,8978432,1067,2498.8,0.39,274,149.62,-0.2193256350234151,0.148483304399997,0.1,0.14228838682174683,0.17298661172389984,2730,0.0006124685,0.0301483154296875,-0.0007443958238582127,0.00011054336000000001,0.012,,
